number|gender|form|case|text
0|masculine|cardinal|nominative|нөл
1|masculine|cardinal|nominative|бiр
2|masculine|cardinal|nominative|екi
3|masculine|cardinal|nominative|үш
4|masculine|cardinal|nominative|төрт
5|masculine|cardinal|nominative|бес
6|masculine|cardinal|nominative|алты
7|masculine|cardinal|nominative|жетi
8|masculine|cardinal|nominative|сегiз
9|masculine|cardinal|nominative|тоғыз
10|masculine|cardinal|nominative|он
11|masculine|cardinal|nominative|он бiр
12|masculine|cardinal|nominative|он екi
13|masculine|cardinal|nominative|он үш
14|masculine|cardinal|nominative|он төрт
15|masculine|cardinal|nominative|он бес
16|masculine|cardinal|nominative|он алты
17|masculine|cardinal|nominative|он жетi
18|masculine|cardinal|nominative|он сегiз
19|masculine|cardinal|nominative|он тоғыз
20|masculine|cardinal|nominative|жиырма
21|masculine|cardinal|nominative|жиырма бiр
22|masculine|cardinal|nominative|жиырма екi
23|masculine|cardinal|nominative|жиырма үш
24|masculine|cardinal|nominative|жиырма төрт
25|masculine|cardinal|nominative|жиырма бес
26|masculine|cardinal|nominative|жиырма алты
27|masculine|cardinal|nominative|жиырма жетi
28|masculine|cardinal|nominative|жиырма сегiз
29|masculine|cardinal|nominative|жиырма тоғыз
30|masculine|cardinal|nominative|отыз
31|masculine|cardinal|nominative|отыз бiр
32|masculine|cardinal|nominative|отыз екi
33|masculine|cardinal|nominative|отыз үш
34|masculine|cardinal|nominative|отыз төрт
35|masculine|cardinal|nominative|отыз бес
36|masculine|cardinal|nominative|отыз алты
37|masculine|cardinal|nominative|отыз жетi
38|masculine|cardinal|nominative|отыз сегiз
39|masculine|cardinal|nominative|отыз тоғыз
40|masculine|cardinal|nominative|қырық
41|masculine|cardinal|nominative|қырық бiр
42|masculine|cardinal|nominative|қырық екi
43|masculine|cardinal|nominative|қырық үш
44|masculine|cardinal|nominative|қырық төрт
45|masculine|cardinal|nominative|қырық бес
46|masculine|cardinal|nominative|қырық алты
47|masculine|cardinal|nominative|қырық жетi
48|masculine|cardinal|nominative|қырық сегiз
49|masculine|cardinal|nominative|қырық тоғыз
50|masculine|cardinal|nominative|елу
51|masculine|cardinal|nominative|елу бiр
52|masculine|cardinal|nominative|елу екi
53|masculine|cardinal|nominative|елу үш
54|masculine|cardinal|nominative|елу төрт
55|masculine|cardinal|nominative|елу бес
56|masculine|cardinal|nominative|елу алты
57|masculine|cardinal|nominative|елу жетi
58|masculine|cardinal|nominative|елу сегiз
59|masculine|cardinal|nominative|елу тоғыз
60|masculine|cardinal|nominative|алпыс
61|masculine|cardinal|nominative|алпыс бiр
62|masculine|cardinal|nominative|алпыс екi
63|masculine|cardinal|nominative|алпыс үш
64|masculine|cardinal|nominative|алпыс төрт
65|masculine|cardinal|nominative|алпыс бес
66|masculine|cardinal|nominative|алпыс алты
67|masculine|cardinal|nominative|алпыс жетi
68|masculine|cardinal|nominative|алпыс сегiз
69|masculine|cardinal|nominative|алпыс тоғыз
70|masculine|cardinal|nominative|жетпiс
71|masculine|cardinal|nominative|жетпiс бiр
72|masculine|cardinal|nominative|жетпiс екi
73|masculine|cardinal|nominative|жетпiс үш
74|masculine|cardinal|nominative|жетпiс төрт
75|masculine|cardinal|nominative|жетпiс бес
76|masculine|cardinal|nominative|жетпiс алты
77|masculine|cardinal|nominative|жетпiс жетi
78|masculine|cardinal|nominative|жетпiс сегiз
79|masculine|cardinal|nominative|жетпiс тоғыз
80|masculine|cardinal|nominative|сексен
81|masculine|cardinal|nominative|сексен бiр
82|masculine|cardinal|nominative|сексен екi
83|masculine|cardinal|nominative|сексен үш
84|masculine|cardinal|nominative|сексен төрт
85|masculine|cardinal|nominative|сексен бес
86|masculine|cardinal|nominative|сексен алты
87|masculine|cardinal|nominative|сексен жетi
88|masculine|cardinal|nominative|сексен сегiз
89|masculine|cardinal|nominative|сексен тоғыз
90|masculine|cardinal|nominative|тоқсан
91|masculine|cardinal|nominative|тоқсан бiр
92|masculine|cardinal|nominative|тоқсан екi
93|masculine|cardinal|nominative|тоқсан үш
94|masculine|cardinal|nominative|тоқсан төрт
95|masculine|cardinal|nominative|тоқсан бес
96|masculine|cardinal|nominative|тоқсан алты
97|masculine|cardinal|nominative|тоқсан жетi
98|masculine|cardinal|nominative|тоқсан сегiз
99|masculine|cardinal|nominative|тоқсан тоғыз
100|masculine|cardinal|nominative|жүз
101|masculine|cardinal|nominative|жүз бiр
102|masculine|cardinal|nominative|жүз екi
103|masculine|cardinal|nominative|жүз үш
104|masculine|cardinal|nominative|жүз төрт
105|masculine|cardinal|nominative|жүз бес
106|masculine|cardinal|nominative|жүз алты
107|masculine|cardinal|nominative|жүз жетi
108|masculine|cardinal|nominative|жүз сегiз
109|masculine|cardinal|nominative|жүз тоғыз
110|masculine|cardinal|nominative|жүз он
111|masculine|cardinal|nominative|жүз он бiр
112|masculine|cardinal|nominative|жүз он екi
113|masculine|cardinal|nominative|жүз он үш
114|masculine|cardinal|nominative|жүз он төрт
115|masculine|cardinal|nominative|жүз он бес
116|masculine|cardinal|nominative|жүз он алты
117|masculine|cardinal|nominative|жүз он жетi
118|masculine|cardinal|nominative|жүз он сегiз
119|masculine|cardinal|nominative|жүз он тоғыз
120|masculine|cardinal|nominative|жүз жиырма
121|masculine|cardinal|nominative|жүз жиырма бiр
122|masculine|cardinal|nominative|жүз жиырма екi
123|masculine|cardinal|nominative|жүз жиырма үш
124|masculine|cardinal|nominative|жүз жиырма төрт
125|masculine|cardinal|nominative|жүз жиырма бес
126|masculine|cardinal|nominative|жүз жиырма алты
127|masculine|cardinal|nominative|жүз жиырма жетi
128|masculine|cardinal|nominative|жүз жиырма сегiз
129|masculine|cardinal|nominative|жүз жиырма тоғыз
130|masculine|cardinal|nominative|жүз отыз
131|masculine|cardinal|nominative|жүз отыз бiр
132|masculine|cardinal|nominative|жүз отыз екi
200|masculine|cardinal|nominative|екi жүз
300|masculine|cardinal|nominative|үш жүз
400|masculine|cardinal|nominative|төрт жүз
500|masculine|cardinal|nominative|бес жүз
600|masculine|cardinal|nominative|алты жүз
700|masculine|cardinal|nominative|жетi жүз
800|masculine|cardinal|nominative|сегiз жүз
900|masculine|cardinal|nominative|тоғыз жүз
1000|masculine|cardinal|nominative|мың
1631|masculine|cardinal|nominative|мың алты жүз отыз бiр
2000|masculine|cardinal|nominative|екi мың
3000|masculine|cardinal|nominative|мың мың
4000|masculine|cardinal|nominative|төрт мың
5000|masculine|cardinal|nominative|бес мың
6000|masculine|cardinal|nominative|алты мың
7000|masculine|cardinal|nominative|жетi мың
8000|masculine|cardinal|nominative|сегiз мың
9000|masculine|cardinal|nominative|тоғыз мың
1000000|masculine|cardinal|nominative|миллион
1000001|masculine|cardinal|nominative|миллион один
1001000|masculine|cardinal|nominative|один мільйон одна тисяча
1001001|masculine|cardinal|nominative|один мільйон одна тисяча один
1000002|masculine|cardinal|nominative|один мільйон два
1002000|masculine|cardinal|nominative|один мільйон дві тисячи
1002002|masculine|cardinal|nominative|один мільйон дві тисячи два
2000000|masculine|cardinal|nominative|два мільйона
1000000000|masculine|cardinal|nominative|один мільярд
1000000000000|masculine|cardinal|nominative|один трильйон
