number|gender|form|case|text
0|masculine|cardinal|nominative|нуль
1|masculine|cardinal|nominative|один
2|masculine|cardinal|nominative|два
3|masculine|cardinal|nominative|три
4|masculine|cardinal|nominative|чотири
5|masculine|cardinal|nominative|п'ять
6|masculine|cardinal|nominative|шість
7|masculine|cardinal|nominative|сім
8|masculine|cardinal|nominative|вісім
9|masculine|cardinal|nominative|дев'ять
10|masculine|cardinal|nominative|десять
11|masculine|cardinal|nominative|одинадцять
12|masculine|cardinal|nominative|дванадцять
13|masculine|cardinal|nominative|тринадцять
14|masculine|cardinal|nominative|чотирнадцять
15|masculine|cardinal|nominative|п'ятнадцять
16|masculine|cardinal|nominative|шістнадцять
17|masculine|cardinal|nominative|сімнадцять
18|masculine|cardinal|nominative|вісімнадцять
19|masculine|cardinal|nominative|дев'ятнадцять
20|masculine|cardinal|nominative|двадцять
21|masculine|cardinal|nominative|двадцять один
22|masculine|cardinal|nominative|двадцять два
23|masculine|cardinal|nominative|двадцять три
24|masculine|cardinal|nominative|двадцять чотири
25|masculine|cardinal|nominative|двадцять п'ять
26|masculine|cardinal|nominative|двадцять шість
27|masculine|cardinal|nominative|двадцять сім
28|masculine|cardinal|nominative|двадцять вісім
29|masculine|cardinal|nominative|двадцять дев'ять
30|masculine|cardinal|nominative|тридцять
31|masculine|cardinal|nominative|тридцять один
32|masculine|cardinal|nominative|тридцять два
33|masculine|cardinal|nominative|тридцять три
34|masculine|cardinal|nominative|тридцять чотири
35|masculine|cardinal|nominative|тридцять п'ять
36|masculine|cardinal|nominative|тридцять шість
37|masculine|cardinal|nominative|тридцять сім
38|masculine|cardinal|nominative|тридцять вісім
39|masculine|cardinal|nominative|тридцять дев'ять
40|masculine|cardinal|nominative|сорок
41|masculine|cardinal|nominative|сорок один
42|masculine|cardinal|nominative|сорок два
43|masculine|cardinal|nominative|сорок три
44|masculine|cardinal|nominative|сорок чотири
45|masculine|cardinal|nominative|сорок п'ять
46|masculine|cardinal|nominative|сорок шість
47|masculine|cardinal|nominative|сорок сім
48|masculine|cardinal|nominative|сорок вісім
49|masculine|cardinal|nominative|сорок дев'ять
50|masculine|cardinal|nominative|п'ятдесят
51|masculine|cardinal|nominative|п'ятдесят один
52|masculine|cardinal|nominative|п'ятдесят два
53|masculine|cardinal|nominative|п'ятдесят три
54|masculine|cardinal|nominative|п'ятдесят чотири
55|masculine|cardinal|nominative|п'ятдесят п'ять
56|masculine|cardinal|nominative|п'ятдесят шість
57|masculine|cardinal|nominative|п'ятдесят сім
58|masculine|cardinal|nominative|п'ятдесят вісім
59|masculine|cardinal|nominative|п'ятдесят дев'ять
60|masculine|cardinal|nominative|шістдесят
61|masculine|cardinal|nominative|шістдесят один
62|masculine|cardinal|nominative|шістдесят два
63|masculine|cardinal|nominative|шістдесят три
64|masculine|cardinal|nominative|шістдесят чотири
65|masculine|cardinal|nominative|шістдесят п'ять
66|masculine|cardinal|nominative|шістдесят шість
67|masculine|cardinal|nominative|шістдесят сім
68|masculine|cardinal|nominative|шістдесят вісім
69|masculine|cardinal|nominative|шістдесят дев'ять
70|masculine|cardinal|nominative|сімдесят
71|masculine|cardinal|nominative|сімдесят один
72|masculine|cardinal|nominative|сімдесят два
73|masculine|cardinal|nominative|сімдесят три
74|masculine|cardinal|nominative|сімдесят чотири
75|masculine|cardinal|nominative|сімдесят п'ять
76|masculine|cardinal|nominative|сімдесят шість
77|masculine|cardinal|nominative|сімдесят сім
78|masculine|cardinal|nominative|сімдесят вісім
79|masculine|cardinal|nominative|сімдесят дев'ять
80|masculine|cardinal|nominative|вісімдесят
81|masculine|cardinal|nominative|вісімдесят один
82|masculine|cardinal|nominative|вісімдесят два
83|masculine|cardinal|nominative|вісімдесят три
84|masculine|cardinal|nominative|вісімдесят чотири
85|masculine|cardinal|nominative|вісімдесят п'ять
86|masculine|cardinal|nominative|вісімдесят шість
87|masculine|cardinal|nominative|вісімдесят сім
88|masculine|cardinal|nominative|вісімдесят вісім
89|masculine|cardinal|nominative|вісімдесят дев'ять
90|masculine|cardinal|nominative|дев'яносто
91|masculine|cardinal|nominative|дев'яносто один
92|masculine|cardinal|nominative|дев'яносто два
93|masculine|cardinal|nominative|дев'яносто три
94|masculine|cardinal|nominative|дев'яносто чотири
95|masculine|cardinal|nominative|дев'яносто п'ять
96|masculine|cardinal|nominative|дев'яносто шість
97|masculine|cardinal|nominative|дев'яносто сім
98|masculine|cardinal|nominative|дев'яносто вісім
99|masculine|cardinal|nominative|дев'яносто дев'ять
100|masculine|cardinal|nominative|сто
101|masculine|cardinal|nominative|сто один
102|masculine|cardinal|nominative|сто два
103|masculine|cardinal|nominative|сто три
104|masculine|cardinal|nominative|сто чотири
